[2026-03-22 23:18:09:0445] | Info     | Manager.cpp              -L4306: ---------------------Start call Mv3dRgbd.dll start--------------------
[2026-03-22 23:18:09:0445] | Info     | Manager.cpp              -L4310: Build Time[250520_11:07:24], SDK version[0x1040003].
[2026-03-22 23:18:09:0445] | Info     | Manager.cpp              -L4312: Mv3dRgbd.dll path [C:\Program Files (x86)\Common Files\Mv3dRgbdSDK\Runtime\Win64_x64\Mv3dRgbd.dll]
[2026-03-22 23:18:09:0445] | Info     | Manager.cpp              -L4313: Current ExE path [C:\Users\zhaox\AppData\Local\Programs\Python\Python312\python.exe]
[2026-03-22 23:18:09:0445] | Info     | Manager.cpp              -L4318: Config (C:\Program Files (x86)\Common Files\Mv3dRgbdSDK\Runtime\Win64_x64\Mv3dRgbdCfg.ini) exist .
[2026-03-22 23:18:09:0445] | Info     | Manager.cpp              -L4328: LogConfig: LogSize[100].
[2026-03-22 23:18:09:0445] | Info     | Manager.cpp              -L4329: CameraConfig: BufferNode[5], DeviceFilterEnable[1].
[2026-03-22 23:18:09:0445] | Info     | Manager.cpp              -L4330: Debug: DebugMode[0].
[2026-03-22 23:18:09:0445] | Info     | Manager.cpp              -L4331: Thread: RectThread[1], RectTimeOut[1000].
[2026-03-22 23:18:09:0445] | Info     | Manager.cpp              -L4332: CameraLog: CameraLogEnable[0], CameraLogPort[8192], CameraLogLevel[3], CameraLogSize[100]
[2026-03-22 23:18:09:0445] | Info     | Manager.cpp              -L2208: [Init] Begin.
[2026-03-22 23:18:09:0446] | Info     | Manager.cpp              -L2243: [Init] end success.
[2026-03-22 23:18:09:0446] | Info     | Manager.cpp              -L1021: [BindDevBySomeWay] start. chParm[DA5635322].
[2026-03-22 23:18:09:0446] | Info     | CameraModule.cpp         -L0094: [SetEnumTimeOut] set enum time out[200]ms success!.
[2026-03-22 23:18:09:0446] | Info     | CameraModule.cpp         -L0117: [Enum] begin.
[2026-03-22 23:18:09:0848] | Info     | CameraModule.cpp         -L0135: [Enum] enum by gige sdk, get camera num:[1].
[2026-03-22 23:18:09:0848] | Info     | CameraModule.cpp         -L0138: [Enum] end success.
[2026-03-22 23:18:09:0848] | Info     | Manager.cpp              -L1161: [CompareBindParm] param bFind[1]  nFindIndex[0] .
[2026-03-22 23:18:09:0848] | Info     | Manager.cpp              -L2166: [CreateHandle] begin.
[2026-03-22 23:18:09:0848] | Info     | CameraModule.cpp         -L0190: [CreateHandle] Get Gige Sdk version:(0x4030202).
[2026-03-22 23:18:09:0849] | Info     | Manager.cpp              -L2201: [CreateHandle] end success.
[2026-03-22 23:18:09:0849] | Info     | Manager.cpp              -L1064: [BindDevBySomeWay] USB Type = USB3
[2026-03-22 23:18:09:0849] | Info     | Manager.cpp              -L1084: [BindDevBySomeWay] end. chParm[DA5635322].
[2026-03-22 23:18:09:0849] | Info     | Manager.cpp              -L0938: [BindDevice] bind device SN[DA5635322] Model[MV-DT01SNU] ip[2bdfDA5635322] SubNetmask[] gateway[].
[2026-03-22 23:18:09:0849] | Info     | Manager.cpp              -L2033: [ConnectDevice] begin.
[2026-03-22 23:18:09:0849] | Info     | Manager.cpp              -L4853: [CamGetDeviceInfo] device SN[DA5635322] ModelName[MV-DT01SNU] 
[2026-03-22 23:18:10:0047] | Info     | Manager.cpp              -L2069: [ConnectDevice] SetImageNodeNum value[5].
[2026-03-22 23:18:10:0062] | Info     | CameraModule.cpp         -L1113: [SetValue] camera module MV_CC_SetEnumValue:strKey(CameraWorkingMode) nValue(4).
[2026-03-22 23:18:10:0071] | Info     | CameraModule.cpp         -L1113: [SetValue] camera module MV_CC_SetEnumValue:strKey(ImageMode) nValue(2).
[2026-03-22 23:18:10:0087] | Info     | CameraModule.cpp         -L1098: [SetValue] camera module MV_CC_SetBoolValue: strKey(ChunkModeActive) bValue(1).
[2026-03-22 23:18:10:0089] | Info     | CameraModule.cpp         -L1113: [SetValue] camera module MV_CC_SetEnumValue:strKey(ChunkSelector) nValue(24).
[2026-03-22 23:18:10:0097] | Info     | CameraModule.cpp         -L1098: [SetValue] camera module MV_CC_SetBoolValue: strKey(ChunkEnable) bValue(1).
[2026-03-22 23:18:10:0097] | Info     | Manager.cpp              -L2021: [SetWorkModeAfterOpen] m_nDeviceType:00000004.
[2026-03-22 23:18:10:0097] | Warning  | CameraModule.cpp         -L1534: [GetCamParamsType] camera module MV_XML_GetNodeInterfaceType fail, pstrName(DepthRectifyEnable), nRet:[0x80000100].
[2026-03-22 23:18:10:0097] | Error    | Manager.cpp              -L4617: [CamGetValue] GetCamParamsType[DepthRectifyEnable] failed, errcode is (0x80060004)
[2026-03-22 23:18:10:0097] | Warning  | CameraModule.cpp         -L1534: [GetCamParamsType] camera module MV_XML_GetNodeInterfaceType fail, pstrName(DepthToRgbEnable), nRet:[0x80000100].
[2026-03-22 23:18:10:0097] | Error    | Manager.cpp              -L4617: [CamGetValue] GetCamParamsType[DepthToRgbEnable] failed, errcode is (0x80060004)
[2026-03-22 23:18:10:0102] | Warning  | CameraModule.cpp         -L1534: [GetCamParamsType] camera module MV_XML_GetNodeInterfaceType fail, pstrName(DeviceRGBCorrectionEnable), nRet:[0x80000100].
[2026-03-22 23:18:10:0102] | Error    | Manager.cpp              -L4617: [CamGetValue] GetCamParamsType[DeviceRGBCorrectionEnable] failed, errcode is (0x80060004)
[2026-03-22 23:18:10:0108] | Warning  | CameraModule.cpp         -L1534: [GetCamParamsType] camera module MV_XML_GetNodeInterfaceType fail, pstrName(ExtenEnable), nRet:[0x80000100].
[2026-03-22 23:18:10:0108] | Error    | Manager.cpp              -L4617: [CamGetValue] GetCamParamsType[ExtenEnable] failed, errcode is (0x80060004)
[2026-03-22 23:18:10:0108] | Warning  | CameraModule.cpp         -L1534: [GetCamParamsType] camera module MV_XML_GetNodeInterfaceType fail, pstrName(RangeTransformEnable), nRet:[0x80000100].
[2026-03-22 23:18:10:0108] | Error    | Manager.cpp              -L4617: [CamGetValue] GetCamParamsType[RangeTransformEnable] failed, errcode is (0x80060004)
[2026-03-22 23:18:10:0122] | Info     | Manager.cpp              -L2159: [ConnectDevice] end success.
[2026-03-22 23:18:10:0122] | Info     | Manager.cpp              -L3881: [Start] begin.
[2026-03-22 23:18:10:0270] | Info     | Manager.cpp              -L3421: [GetCamExtraInfo] GetStringValue  SDKInfoURL success value[local:ImageInfo.xml:0x180000:1646:0xbe].
[2026-03-22 23:18:10:0270] | Info     | Manager.cpp              -L3461: [GetCamExtraInfo] nFileAddress[0x180000] nFileLen[1646].
[2026-03-22 23:18:10:0271] | Info     | Manager.cpp              -L3667: [GetCamExtraInfo] m_stFrameExtraInfo.nRgbWidth[1536] m_stFrameExtraInfo.nRgbHeight[1280] m_stFrameExtraInfo.nRgbDataLen[5898240] m_stFrameExtraInfo.bIsRectified[0].
[2026-03-22 23:18:10:0271] | Warning  | Manager.cpp              -L3704: [GetCamExtraInfo] pRenderInfo is null.
[2026-03-22 23:18:10:0272] | Info     | Manager.cpp              -L8528: [GetDimension] Get LSLProfileCoordZUnit  Value[1.000000] nRet:[0].
[2026-03-22 23:18:10:0272] | Info     | Manager.cpp              -L3421: [GetCamExtraInfo] GetStringValue  SDKInfoURL success value[local:ImageInfo.xml:0x180000:1646:0xbe].
[2026-03-22 23:18:10:0272] | Info     | Manager.cpp              -L3461: [GetCamExtraInfo] nFileAddress[0x180000] nFileLen[1646].
[2026-03-22 23:18:10:0274] | Info     | Manager.cpp              -L3667: [GetCamExtraInfo] m_stFrameExtraInfo.nRgbWidth[1536] m_stFrameExtraInfo.nRgbHeight[1280] m_stFrameExtraInfo.nRgbDataLen[5898240] m_stFrameExtraInfo.bIsRectified[0].
[2026-03-22 23:18:10:0274] | Warning  | Manager.cpp              -L3704: [GetCamExtraInfo] pRenderInfo is null.
[2026-03-22 23:18:10:0650] | Info     | Manager.cpp              -L10721: [CalibUtilsProcess] MV3D_CALIBUTIL_GetCalibInfoEx success! RgbWidth[1536] RgbHeight[1280] DepthWidth[640] DepthHeight[480]
[2026-03-22 23:18:10:0652] | Info     | Manager.cpp              -L3762: [RgbRectInit] Get CameraWorkingMode Value:[4], nRet:[0].
[2026-03-22 23:18:10:0652] | Info     | Manager.cpp              -L3784: [RgbRectInit] Calib Param : RgbHeight[1280]
[2026-03-22 23:18:10:0652] | Info     | Manager.cpp              -L3785: [RgbRectInit] Calib Param : RgbWidth[1536]
[2026-03-22 23:18:10:0659] | Info     | Manager.cpp              -L3831: [RgbRectInit] RgbRectInit success.
[2026-03-22 23:18:10:0660] | Info     | CameraModule.cpp         -L1113: [SetValue] camera module MV_CC_SetEnumValue:strKey(FileSelector) nValue(15).
[2026-03-22 23:18:10:0721] | Info     | Manager.cpp              -L3953: [Start] StartGrabbing success.
[2026-03-22 23:18:10:0721] | Info     | Manager.cpp              -L3959: [Start] end success.
[2026-03-22 23:18:10:0835] | Info     | Manager.cpp              -L8562: [GetAlgorithmValue] Get NoiseFilterType EnumValue:[2].
[2026-03-22 23:18:10:0836] | Info     | Manager.cpp              -L8555: [GetAlgorithmValue] Get NoiseFilterSpeckleDepthDiff IntValue:[50].
[2026-03-22 23:18:10:0837] | Info     | Manager.cpp              -L8555: [GetAlgorithmValue] Get NoiseFilterSpeckleArea IntValue:[500].
[2026-03-22 23:18:10:0840] | Info     | Manager.cpp              -L8562: [GetAlgorithmValue] Get GapFillMode EnumValue:[3].
[2026-03-22 23:18:10:0843] | Info     | Manager.cpp              -L8555: [GetAlgorithmValue] Get GapFillXNum IntValue:[5].
[2026-03-22 23:18:10:0843] | Info     | Manager.cpp              -L8555: [GetAlgorithmValue] Get GapFillYNum IntValue:[5].
[2026-03-22 23:18:10:0844] | Info     | Manager.cpp              -L8555: [GetAlgorithmValue] Get GapFillHeightTh IntValue:[50].
[2026-03-22 23:18:10:0864] | Info     | Manager.cpp              -L8562: [GetAlgorithmValue] Get RangeFilterType EnumValue:[5].
[2026-03-22 23:18:10:0865] | Info     | Manager.cpp              -L8555: [GetAlgorithmValue] Get RangeFilterStddev IntValue:[1500].
[2026-03-22 23:18:10:0866] | Info     | Manager.cpp              -L8555: [GetAlgorithmValue] Get RangeFilterDecay IntValue:[10].
[2026-03-22 23:18:10:0866] | Warning  | CameraModule.cpp         -L1534: [GetCamParamsType] camera module MV_XML_GetNodeInterfaceType fail, pstrName(RangeFilterSpacialDir), nRet:[0x80000100].
[2026-03-22 23:18:10:0866] | Error    | Manager.cpp              -L4617: [CamGetValue] GetCamParamsType[RangeFilterSpacialDir] failed, errcode is (0x80060004)
[2026-03-22 23:18:10:0866] | Warning  | Manager.cpp              -L9143: [RangeFilterProcess]  Get RangeFilterSpacialDir failed[0x80060004]
[2026-03-22 23:18:10:0896] | Info     | Manager.cpp              -L8555: [GetAlgorithmValue] Get HeightExtractMinDepth IntValue:[100].
[2026-03-22 23:18:10:0896] | Info     | Manager.cpp              -L8555: [GetAlgorithmValue] Get HeightExtractMaxDepth IntValue:[1400].
[2026-03-22 23:18:10:0901] | Info     | Manager.cpp              -L8239: [RgbConverRect] create thread begin.
[2026-03-22 23:18:10:0901] | Info     | Manager.cpp              -L8259: [RgbConverRect] MV_CreateThread m_hThreadAlgorihmHandle Success.
[2026-03-22 23:18:10:0901] | Info     | Manager.cpp              -L8263: [RgbConverRect] create thread end.
[2026-03-22 23:18:10:0902] | Info     | Manager.cpp              -L10314: [RgbRectThreadProc] thread begin.
[2026-03-22 23:18:10:0952] | Warning  | CameraModule.cpp         -L1534: [GetCamParamsType] camera module MV_XML_GetNodeInterfaceType fail, pstrName(RangeFilterSpacialDir), nRet:[0x80000100].
[2026-03-22 23:18:10:0952] | Error    | Manager.cpp              -L4617: [CamGetValue] GetCamParamsType[RangeFilterSpacialDir] failed, errcode is (0x80060004)
[2026-03-22 23:18:10:0952] | Warning  | Manager.cpp              -L9143: [RangeFilterProcess]  Get RangeFilterSpacialDir failed[0x80060004]
[2026-03-22 23:18:10:0995] | Warning  | CameraModule.cpp         -L1534: [GetCamParamsType] camera module MV_XML_GetNodeInterfaceType fail, pstrName(RangeFilterSpacialDir), nRet:[0x80000100].
[2026-03-22 23:18:10:0995] | Error    | Manager.cpp              -L4617: [CamGetValue] GetCamParamsType[RangeFilterSpacialDir] failed, errcode is (0x80060004)
[2026-03-22 23:18:10:0995] | Warning  | Manager.cpp              -L9143: [RangeFilterProcess]  Get RangeFilterSpacialDir failed[0x80060004]
[2026-03-22 23:18:11:0032] | Warning  | Manager.cpp              -L3131: [FetchFrame] error lost frameID from[3] to [5].
[2026-03-22 23:18:11:0035] | Warning  | CameraModule.cpp         -L1534: [GetCamParamsType] camera module MV_XML_GetNodeInterfaceType fail, pstrName(RangeFilterSpacialDir), nRet:[0x80000100].
[2026-03-22 23:18:11:0035] | Error    | Manager.cpp              -L4617: [CamGetValue] GetCamParamsType[RangeFilterSpacialDir] failed, errcode is (0x80060004)
[2026-03-22 23:18:11:0035] | Warning  | Manager.cpp              -L9143: [RangeFilterProcess]  Get RangeFilterSpacialDir failed[0x80060004]
[2026-03-22 23:18:11:0076] | Warning  | CameraModule.cpp         -L1534: [GetCamParamsType] camera module MV_XML_GetNodeInterfaceType fail, pstrName(RangeFilterSpacialDir), nRet:[0x80000100].
[2026-03-22 23:18:11:0076] | Error    | Manager.cpp              -L4617: [CamGetValue] GetCamParamsType[RangeFilterSpacialDir] failed, errcode is (0x80060004)
[2026-03-22 23:18:11:0076] | Warning  | Manager.cpp              -L9143: [RangeFilterProcess]  Get RangeFilterSpacialDir failed[0x80060004]
[2026-03-22 23:18:11:0116] | Warning  | CameraModule.cpp         -L1534: [GetCamParamsType] camera module MV_XML_GetNodeInterfaceType fail, pstrName(RangeFilterSpacialDir), nRet:[0x80000100].
[2026-03-22 23:18:11:0116] | Error    | Manager.cpp              -L4617: [CamGetValue] GetCamParamsType[RangeFilterSpacialDir] failed, errcode is (0x80060004)
[2026-03-22 23:18:11:0116] | Warning  | Manager.cpp              -L9143: [RangeFilterProcess]  Get RangeFilterSpacialDir failed[0x80060004]
[2026-03-22 23:18:11:0155] | Warning  | CameraModule.cpp         -L1534: [GetCamParamsType] camera module MV_XML_GetNodeInterfaceType fail, pstrName(RangeFilterSpacialDir), nRet:[0x80000100].
[2026-03-22 23:18:11:0155] | Error    | Manager.cpp              -L4617: [CamGetValue] GetCamParamsType[RangeFilterSpacialDir] failed, errcode is (0x80060004)
[2026-03-22 23:18:11:0155] | Warning  | Manager.cpp              -L9143: [RangeFilterProcess]  Get RangeFilterSpacialDir failed[0x80060004]
[2026-03-22 23:18:11:0193] | Warning  | CameraModule.cpp         -L1534: [GetCamParamsType] camera module MV_XML_GetNodeInterfaceType fail, pstrName(RangeFilterSpacialDir), nRet:[0x80000100].
[2026-03-22 23:18:11:0193] | Error    | Manager.cpp              -L4617: [CamGetValue] GetCamParamsType[RangeFilterSpacialDir] failed, errcode is (0x80060004)
[2026-03-22 23:18:11:0193] | Warning  | Manager.cpp              -L9143: [RangeFilterProcess]  Get RangeFilterSpacialDir failed[0x80060004]
[2026-03-22 23:18:11:0229] | Warning  | Manager.cpp              -L3131: [FetchFrame] error lost frameID from[9] to [11].
[2026-03-22 23:18:11:0232] | Warning  | CameraModule.cpp         -L1534: [GetCamParamsType] camera module MV_XML_GetNodeInterfaceType fail, pstrName(RangeFilterSpacialDir), nRet:[0x80000100].
[2026-03-22 23:18:11:0232] | Error    | Manager.cpp              -L4617: [CamGetValue] GetCamParamsType[RangeFilterSpacialDir] failed, errcode is (0x80060004)
[2026-03-22 23:18:11:0232] | Warning  | Manager.cpp              -L9143: [RangeFilterProcess]  Get RangeFilterSpacialDir failed[0x80060004]
[2026-03-22 23:18:11:0270] | Warning  | CameraModule.cpp         -L1534: [GetCamParamsType] camera module MV_XML_GetNodeInterfaceType fail, pstrName(RangeFilterSpacialDir), nRet:[0x80000100].
[2026-03-22 23:18:11:0270] | Error    | Manager.cpp              -L4617: [CamGetValue] GetCamParamsType[RangeFilterSpacialDir] failed, errcode is (0x80060004)
[2026-03-22 23:18:11:0270] | Warning  | Manager.cpp              -L9143: [RangeFilterProcess]  Get RangeFilterSpacialDir failed[0x80060004]
[2026-03-22 23:18:11:0309] | Warning  | CameraModule.cpp         -L1534: [GetCamParamsType] camera module MV_XML_GetNodeInterfaceType fail, pstrName(RangeFilterSpacialDir), nRet:[0x80000100].
[2026-03-22 23:18:11:0309] | Error    | Manager.cpp              -L4617: [CamGetValue] GetCamParamsType[RangeFilterSpacialDir] failed, errcode is (0x80060004)
[2026-03-22 23:18:11:0309] | Warning  | Manager.cpp              -L9143: [RangeFilterProcess]  Get RangeFilterSpacialDir failed[0x80060004]
[2026-03-22 23:18:11:0348] | Warning  | CameraModule.cpp         -L1534: [GetCamParamsType] camera module MV_XML_GetNodeInterfaceType fail, pstrName(RangeFilterSpacialDir), nRet:[0x80000100].
[2026-03-22 23:18:11:0348] | Error    | Manager.cpp              -L4617: [CamGetValue] GetCamParamsType[RangeFilterSpacialDir] failed, errcode is (0x80060004)
[2026-03-22 23:18:11:0348] | Warning  | Manager.cpp              -L9143: [RangeFilterProcess]  Get RangeFilterSpacialDir failed[0x80060004]
[2026-03-22 23:18:11:0391] | Warning  | CameraModule.cpp         -L1534: [GetCamParamsType] camera module MV_XML_GetNodeInterfaceType fail, pstrName(RangeFilterSpacialDir), nRet:[0x80000100].
